,Rank,Name,Name.1,Nation,Points,47,48,50,49,1995,event,gender,athlete_id
0,1,Erbesfield,Robyn,USA,345.00,1. 100.00,1. 100.00,2. 80.00,3. 65.00,1995,lead,WOMEN,1323
1,2,Guyon,Laurence,FRA,331.00,5. 51.00,2. 80.00,1. 100.00,1. 100.00,1995,lead,WOMEN,1209
2,3,Sansoz,Liv,FRA,250.00,3. 65.00,3. 65.00,2. 80.00,8. 40.00,1995,lead,WOMEN,1222
3,4,Richer,Natalie,FRA,204.00,6. 47.00,4. 55.00,4. 55.00,6. 47.00,1995,lead,WOMEN,1301
4,5,Guillet,Marie,FRA,186.00,3. 65.00,13. 26.00,8. 40.00,4. 55.00,1995,lead,WOMEN,1242
5,5,Sarkany,Muriel,BEL,186.00,2. 80.00,13. 26.00,,2. 80.00,1995,lead,WOMEN,1272
6,7,Cufar,Martina,SLO,164.00,15. 22.00,5. 51.00,5. 51.00,8. 40.00,1995,lead,WOMEN,1236
7,8,Choumilova,Elena,RUS,151.00,9. 37.00,7. 43.00,7. 43.00,12. 28.00,1995,lead,WOMEN,1106
8,9,Kavoussi,Karin,AUT,124.00,12. 28.00,6. 47.00,6. 47.00,29. 2.00,1995,lead,WOMEN,1188
9,10,Uhden,Marietta,GER,89.00,15. 22.00,9. 37.00,21. 10.00,16. 20.00,1995,lead,WOMEN,1277
10,11,Avezou,Cecile,FRA,87.00,10. 34.00,21. 10.00,9. 37.00,25. 6.00,1995,lead,WOMEN,1055
11,12,Bodet,Stéphanie,FRA,86.00,7. 43.00,9. 37.00,,25. 6.00,1995,lead,WOMEN,1335
12,12,Chereshneva,Venera,RUS,86.00,8. 40.00,,16. 20.00,13. 26.00,1995,lead,WOMEN,1391
13,14,Ovtchinnikova,Elena,USA,82.00,,,11. 31.00,5. 51.00,1995,lead,WOMEN,1101
14,15,Lukancic,Metka,SLO,81.00,11. 31.00,15. 22.00,13. 26.00,29. 2.00,1995,lead,WOMEN,1251
15,16,Valsecchi,Raffaella,ITA,75.00,19. 14.00,,17. 18.00,7. 43.00,1995,lead,WOMEN,1332
16,17,Striecks,Angela,GER,74.00,12. 28.00,25. 6.00,,8. 40.00,1995,lead,WOMEN,1020
17,18,Guy,Naomi,GBR,62.00,24. 7.00,7. 43.00,,20. 12.00,1995,lead,WOMEN,1290
18,19,Hansen,Gry,NOR,49.00,17. 18.00,11. 31.00,,,1995,lead,WOMEN,1132
19,20,Ruyga,Tatiana,RUS,48.00,,,13. 26.00,15. 22.00,1995,lead,WOMEN,1378
20,21,Kato,Yasue,JPN,42.00,12. 28.00,19. 14.00,,,1995,lead,WOMEN,1396
21,21,Schlemmer,Tamara,GER,42.00,,15. 22.00,21. 10.00,21. 10.00,1995,lead,WOMEN,1379
22,23,Iovane,Luisa,ITA,40.00,,,,8. 40.00,1995,lead,WOMEN,1213
23,24,Agapova,Galina,RUS,37.00,,,9. 37.00,,1995,lead,WOMEN,1123
24,25,Bereciartu Urruzola,Josune,ESP,36.00,,12. 28.00,,23. 8.00,1995,lead,WOMEN,1171
25,26,Hilly,Margaux,FRA,33.00,22. 9.00,27. 4.00,27. 4.00,18. 16.00,1995,lead,WOMEN,1232
26,27,Butler,Felicity,GBR,32.00,26. 5.00,,28. 3.00,14. 24.00,1995,lead,WOMEN,1112
27,28,Sutkina,Svetlana,RUS,31.00,,,11. 31.00,,1995,lead,WOMEN,1366
28,29,Mimet,Claire,FRA,30.00,19. 14.00,19. 14.00,29. 2.00,,1995,lead,WOMEN,1062
29,30,Stranska,Barbara,CZE,29.00,28. 3.00,21. 10.00,,18. 16.00,1995,lead,WOMEN,1039
30,31,Bibik,Olga,RUS,22.00,,,15. 22.00,,1995,lead,WOMEN,1308
31,32,Hartmann,Iva,SUI,21.00,26. 5.00,18. 16.00,,,1995,lead,WOMEN,1158
32,33,Sustar,Maja,SLO,20.00,,21. 10.00,21. 10.00,,1995,lead,WOMEN,1276
33,34,Creamer,Lucy,GBR,18.00,,17. 18.00,,,1995,lead,WOMEN,1205
34,34,Haager,Ameli,GER,18.00,,,,17. 18.00,1995,lead,WOMEN,998
35,34,Piszczek,Renata,POL,18.00,29. 2.00,,18. 16.00,,1995,lead,WOMEN,1329
36,37,Schultz,Annatina,SUI,17.00,29. 2.00,25. 6.00,,22. 9.00,1995,lead,WOMEN,3870
37,38,Prickett,Eve,GBR,16.00,18. 16.00,,,,1995,lead,WOMEN,1102
38,39,Jenkins,Ruth,GBR,15.00,,27. 4.00,24. 7.00,27. 4.00,1995,lead,WOMEN,1326
39,40,Coffy,Anne-Marie,FRA,14.00,19. 14.00,,,,1995,lead,WOMEN,988
40,40,Rouiga,Irina,RUS,14.00,,,19. 14.00,,1995,lead,WOMEN,1166
41,42,Zaytseva,Irina,RUS,12.00,,,20. 12.00,,1995,lead,WOMEN,1170
42,43,Pearsons,Silvia,GBR,10.00,,21. 10.00,,,1995,lead,WOMEN,1358
43,44,Presson,Shelly,USA,9.00,22. 9.00,,,,1995,lead,WOMEN,1356
44,45,Vallet,Catherine,FRA,8.00,,,,23. 8.00,1995,lead,WOMEN,1071
45,46,Berger,Marianne,FRA,7.00,24. 7.00,,,,1995,lead,WOMEN,1231
46,46,Buronova,Larissa,RUS,7.00,,,24. 7.00,,1995,lead,WOMEN,2984
47,46,Piratinskaya,Mayya,RUS,7.00,,,24. 7.00,,1995,lead,WOMEN,1267
48,49,Arran,Anne,GBR,6.00,,29. 2.00,,27. 4.00,1995,lead,WOMEN,1003
49,50,Verbeek,Mirjam,NED,4.00,29. 2.00,29. 2.00,,,1995,lead,WOMEN,1279
50,51,Panfyorova,Margarita,UKR,2.00,,,29. 2.00,,1995,lead,WOMEN,1264
51,51,Perlova,Nataliya,UKR,2.00,,,,29. 2.00,1995,lead,WOMEN,1299
52,51,Steindl,Irene,AUT,2.00,,,,29. 2.00,1995,lead,WOMEN,1168
