,Rank,Name,Name.1,Nation,Points,253,245,243,2000,event,gender,athlete_id
0,1,Vedenmeer,Andrey,UKR,198.00,4. 55.00,7. 43.00,1. 100.00,2000,speed,MEN,68
1,2,Soubbotine,Iakov,RUS,194.00,5. 51.00,1. 100.00,7. 43.00,2000,speed,MEN,2514
2,3,Zakharov,Vladimir,UKR,152.00,3. 65.00,6. 47.00,8. 40.00,2000,speed,MEN,954
3,4,Baranov,Vladislav,RUS,148.00,11. 31.00,2. 80.00,9. 37.00,2000,speed,MEN,2849
4,5,Gadeev,Alexei,RUS,142.00,7. 43.00,3. 65.00,10. 34.00,2000,speed,MEN,3108
5,6,Komondi,Csaba,HUN,135.00,2. 80.00,11. 31.00,14. 24.00,2000,speed,MEN,135
6,7,Sergeyev (Liachenko),Alexandre,RUS,128.00,6. 47.00,4. 55.00,13. 26.00,2000,speed,MEN,3109
7,8,Müller,Lukasz,POL,120.00,9. 37.00,12. 28.00,4. 55.00,2000,speed,MEN,525
8,9,Chaoulsky,Alexandre,RUS,116.00,,5. 51.00,3. 65.00,2000,speed,MEN,2567
9,10,Paukaev,Alexandr,UKR,109.00,17. 18.00,8. 40.00,5. 51.00,2000,speed,MEN,49
10,11,Styenkovyy,Maksym,UKR,100.00,1. 100.00,,,2000,speed,MEN,2586
11,12,Oleksy,Tomasz,POL,84.00,,9. 37.00,6. 47.00,2000,speed,MEN,906
12,13,Netsvetaev-Dolgalev,Vladimir,RUS,80.00,,,2. 80.00,2000,speed,MEN,944
13,14,Krivonos,Andrei,UKR,76.00,17. 18.00,10. 34.00,14. 24.00,2000,speed,MEN,34
14,15,Januel,Nicolas,FRA,40.00,8. 40.00,,,2000,speed,MEN,3176
15,16,Dutray,Mathieu,FRA,34.00,10. 34.00,,,2000,speed,MEN,562
16,17,Kryvosheytsev,Yevgen,UKR,31.00,,,11. 31.00,2000,speed,MEN,227
17,18,Giupponi,Luca,ITA,28.00,12. 28.00,,,2000,speed,MEN,514
18,18,Piliougine,Igor,RUS,28.00,,,12. 28.00,2000,speed,MEN,2513
19,20,Schönenberger,Urs,SUI,26.00,13. 26.00,,,2000,speed,MEN,933
20,21,Lampugnani,Diego,SUI,24.00,14. 24.00,,,2000,speed,MEN,3591
21,21,Nourmamatov,Serguei,RUS,24.00,,,14. 24.00,2000,speed,MEN,840
22,23,Mohd Yazid,Bin Mohd Yusof,SGP,22.00,15. 22.00,,,2000,speed,MEN,4918
23,24,Decker,Martin,GER,20.00,16. 20.00,,,2000,speed,MEN,2093
24,25,Umnitsyn,Mikhail,RUS,18.00,,,17. 18.00,2000,speed,MEN,3539
25,26,Belhaj,Said,SWE,16.00,,,18. 16.00,2000,speed,MEN,795
26,27,Pfanner,Andreas,AUT,14.00,,,19. 14.00,2000,speed,MEN,52
27,28,Gusak,Igor,UKR,12.00,,,20. 12.00,2000,speed,MEN,354
28,29,Lanz,Anders,SWE,10.00,,,21. 10.00,2000,speed,MEN,3221
29,30,Boholm,Max,SWE,9.00,,,22. 9.00,2000,speed,MEN,2607
