,Rank,Name,Name.1,Nation,Points,1377,1372,1371,1373,1387,1379,2012,event,gender,athlete_id
0,1,Gelmanov,Rustam,RUS,400.00,4. 55.00,,2. 80.00,1. 100.00,1. 100.00,3. 65.00,2012,boulder,MEN,6933
1,2,Fischhuber,Kilian,AUT,354.00,21. 9.00,1. 100.00,1. 100.00,3. 65.00,2. 80.00,,2012,boulder,MEN,2602
2,3,Schubert,Jakob,AUT,318.00,3. 65.00,5. 51.00,4. 55.00,23. (7.00),6. 47.00,1. 100.00,2012,boulder,MEN,6550
3,4,Sharafutdinov,Dmitrii,RUS,304.00,1. 100.00,,7. 43.00,2. 80.00,4. 55.00,13. 26.00,2012,boulder,MEN,5781
4,5,McColl,Sean,CAN,281.00,2. 80.00,2. 80.00,3. 65.00,9. 34.00,15. 22.00,,2012,boulder,MEN,5089
5,6,Glairon Mondet,Guillaume,FRA,261.00,7. 41.00,4. 55.00,10. 34.00,13. (25.00),5. 51.00,2. 80.00,2012,boulder,MEN,3500
6,7,Sugimoto,Rei,JPN,204.00,5. 51.00,6. 47.00,17. (18.00),4. 55.00,16. 20.00,11. 31.00,2012,boulder,MEN,7465
7,8,Caleyron,Thomas,FRA,158.00,14. 24.00,,,5. 51.00,8. 40.00,7. 43.00,2012,boulder,MEN,5694
8,9,Baumann,Jonas,GER,140.00,10. 34.00,,11. 29.00,9. 34.00,28. 3.00,8. 40.00,2012,boulder,MEN,5206
9,10,Kruder,Jernej,SLO,126.00,9. 37.00,25. (6.00),21. 9.00,12. 28.00,12. 28.00,14. 24.00,2012,boulder,MEN,6488
10,11,Verhoeven,Jorg,NED,118.00,21. 9.00,7. 43.00,21. 9.00,7. 43.00,19. 14.00,,2012,boulder,MEN,3115
11,12,Hori,Tsukuru,JPN,112.00,27. 3.00,12. 28.00,16. 20.00,,14. 24.00,9. 37.00,2012,boulder,MEN,7226
12,13,Ennemoser,Lukas,AUT,107.00,15. 22.00,21. 10.00,14. 24.00,13. 25.00,13. 26.00,,2012,boulder,MEN,6096
13,14,Rubtsov,Aleksey,RUS,104.00,,,25. 5.00,25. 5.00,7. 43.00,5. 51.00,2012,boulder,MEN,9046
14,15,Watson,Stewart,GBR,100.00,6. 47.00,,6. 47.00,,23. 6.00,,2012,boulder,MEN,5300
15,16,Danker,Stefan,GER,91.00,18. 16.00,,23. 7.00,,10. 34.00,10. 34.00,2012,boulder,MEN,5768
16,17,Becan,Klemen,SLO,90.00,,8. 40.00,27. 3.00,,11. 31.00,18. 16.00,2012,boulder,MEN,2523
17,18,Gaidioz,Loïc,FRA,84.00,,16. 20.00,20. 12.00,18. 15.00,9. 37.00,,2012,boulder,MEN,5310
18,19,Bonder,Jeremy,FRA,78.00,25. 5.00,26. 4.00,15. 22.00,6. 47.00,,,2012,boulder,MEN,9991
19,20,Hojer,Jan,GER,75.00,29. 1.00,3. 65.00,,,21. 9.00,,2012,boulder,MEN,6623
