,Rank,Name,Name.1,Nation,Points,KranjWC 11.11.2017,XiamenWC 14.10.2017,Wujiang 07.10.2017,EdinburghWC 23.09.2017,ArcoWC 25.08.2017,BriançonWC 28.07.2017,ChamonixWC 12.07.2017,VillarsWC 07.07.2017,2017,event,gender
0,1,Garnbret,Janja,SLO,665.00,1. 100.00,3. 65.00,1. 100.00,1. 100.00,3. (65.00),1. 100.00,1. 100.00,1. 100.00,2017,lead,WOMEN
1,2,KIM,Jain,KOR,525.00,2. 80.00,8. (38.00),2. 80.00,3. 65.00,1. 100.00,3. 65.00,2. 80.00,4. 55.00,2017,lead,WOMEN
2,3,Verhoeven,Anak,BEL,444.00,8. 40.00,1. 100.00,8. (40.00),6. 47.00,6. 47.00,2. 80.00,3. 65.00,3. 65.00,2017,lead,WOMEN
3,4,Pilz,Jessica,AUT,374.00,,4. 55.00,7. 43.00,2. 80.00,7. 43.00,5. 51.00,5. 51.00,5. 51.00,2017,lead,WOMEN
4,5,Chanourdie,Julia,FRA,362.00,4. 55.00,11. (28.00),3. 65.00,5. 51.00,4. 55.00,4. 55.00,6. 47.00,10. 34.00,2017,lead,WOMEN
5,6,Markovic,Mina,SLO,304.00,5. 51.00,5. 51.00,10. 34.00,15. 22.00,21. (10.00),8. 40.00,13. 26.00,2. 80.00,2017,lead,WOMEN
6,7,Thompson-Smith,Molly,GBR,267.00,3. 65.00,6. 45.00,5. 51.00,9. 35.00,8. 40.00,11. 31.00,,,2017,lead,WOMEN
7,8,Shiraishi,Ashima,USA,233.00,,2. 80.00,6. 47.00,4. 55.00,5. 51.00,,,,2017,lead,WOMEN
8,9,Koller,Anne-Sophie,SUI,210.00,11. 31.00,,,18. 16.00,2. 80.00,22. 9.00,9. 37.00,9. 37.00,2017,lead,WOMEN
9,10,Schubert,Hannah,AUT,204.00,16. 20.00,8. 38.00,13. 26.00,9. 35.00,19. 14.00,19. (14.00),12. 28.00,7. 43.00,2017,lead,WOMEN
10,11,Ota,Risa,JPN,184.00,13. 26.00,10. 34.00,14. 23.00,11. 31.00,14. 24.00,12. 28.00,17. 18.00,26. (5.00),2017,lead,WOMEN
11,12,Romain,Salomé,FRA,175.00,,15. 22.00,12. 28.00,17. 18.00,12. 28.00,7. 43.00,15. 22.00,19. 14.00,2017,lead,WOMEN
12,13,Becerra,Mathilde,FRA,163.00,,11. 28.00,11. 31.00,12. 28.00,18. 16.00,,16. 20.00,8. 40.00,2017,lead,WOMEN
13,14,Hafsaas,Tina Johnsen,NOR,156.00,,24. 7.00,22. 9.00,8. 40.00,9. 37.00,24. 7.00,4. 55.00,30. 1.00,2017,lead,WOMEN
14,15,Noguchi,Akiyo,JPN,137.00,9. 37.00,6. 45.00,4. 55.00,,,,,,2017,lead,WOMEN
15,16,Kazbekova,Ievgeniia,UKR,115.00,,19. 14.00,14. 23.00,,22. 9.00,30. 1.00,8. 40.00,11. 28.00,2017,lead,WOMEN
16,17,Choong,Katherine,SUI,112.00,27. 3.00,,,16. 20.00,13. 26.00,10. 34.00,30. 1.00,11. 28.00,2017,lead,WOMEN
17,18,Lukan,Vita,SLO,109.00,7. 43.00,,,,,16. 20.00,14. 24.00,15. 22.00,2017,lead,WOMEN
18,19,Rogora,Laura,ITA,93.00,23. 7.00,,,,11. 31.00,,23. 8.00,6. 47.00,2017,lead,WOMEN
19,20,Hayes,Margo,USA,87.00,,,,,10. 34.00,6. 47.00,25. 6.00,,2017,lead,WOMEN
20,21,Fakhritdinova,Dinara,RUS,85.00,20. 12.00,14. 24.00,9. 37.00,20. 12.00,,,,,2017,lead,WOMEN
21,21,Ghisolfi,Claudia,ITA,85.00,,18. 16.00,17. 18.00,13. 26.00,20. 12.00,28. 3.00,,21. 10.00,2017,lead,WOMEN
22,23,Krampl,Mia,SLO,82.00,19. 14.00,,,14. 24.00,30. 1.00,,7. 43.00,,2017,lead,WOMEN
23,24,Fiser,Julia,AUT,80.00,14. 24.00,,,22. 9.00,28. 2.00,15. 22.00,19. 14.00,22. 9.00,2017,lead,WOMEN
24,25,Janicot,Hélène,FRA,72.00,,,,,25. 6.00,9. 37.00,22. 9.00,16. 20.00,2017,lead,WOMEN
25,26,Raboutou,Brooke,USA,68.00,,,,,23. 8.00,13. 26.00,10. 34.00,,2017,lead,WOMEN
26,27,Kotake,Mei,JPN,66.00,12. 28.00,11. 28.00,21. 10.00,,,,,,2017,lead,WOMEN
